,contrast_cluster_1,dissimilarity_cluster_1,homogeneity_cluster_1,energy_cluster_1,contrast_cluster_2,dissimilarity_cluster_2,homogeneity_cluster_2,energy_cluster_2,contrast_cluster_3,dissimilarity_cluster_3,homogeneity_cluster_3,energy_cluster_3,contrast_cluster_4,dissimilarity_cluster_4,homogeneity_cluster_4,energy_cluster_4
p214-010-60161-mr.png,296931435.25,7348053.25,8133524.0954737775,47253.36827292788,813371400.5,12996298.75,8168809.573439084,35315.85047242279,892823783.75,9611966.0,8332289.01550477,58476.25375176789,448606376.5,3740387.5,8445110.13827075,49402.64851543764
p214-010-60167-cl.png,1208092669.75,26018918.75,12671050.418981439,103011.0912779778,4622262358.75,70427690.25,11972159.901543861,151647.6304121103,6172193231.5,71634177.75,12340136.079176921,127122.74309875668,2921128772.0,27007329.75,13247542.627703704,69579.52055621157
p214-010-60167-cr.png,624582527.25,14851321.25,13000277.151330516,76127.02541406048,3674320070.5,59196902.0,12128683.302996892,143894.61818334938,6734659485.0,82297012.5,12062020.346271029,144467.48897962546,4010490265.0,39911590.5,12968192.632443031,72313.21752070273
p214-010-60167-ml.png,906033653.75,20538247.25,12689095.772582132,78601.9420684566,3757784884.0,56378402.75,12248051.691459574,121975.06942986847,6573173754.75,72377588.75,12329425.849386945,115057.91743116587,4304310162.25,38967864.0,12998596.617826954,57358.215409186436
p214-010-60167-mr.png,1070371647.5,24076832.25,12531652.542170111,93635.81846091665,4047721520.5,60118077.0,12198503.055514023,124996.01122461338,6698192552.75,72687964.25,12368939.771571167,112288.1849499546,4369581674.5,39085898.75,13005564.910383908,65970.77797780748
p214-010-60171-cl.png,207223604.5,7355708.75,12982695.28765403,61554.945126899016,2331982019.0,38527634.25,12515794.333900385,87158.95788375314,5931646581.75,69375087.25,12287667.655633971,108720.487485507,4253495076.0,40056520.0,12976462.240384776,70947.06892364216
p214-010-60171-cr.png,201796571.75,6781174.25,13016415.596962351,66910.41568425152,1906265739.5,30252979.75,12782392.768697431,75377.1864273503,4739285595.75,54562441.25,12527249.253361145,82961.32257325659,3339227167.25,31243895.25,13093873.60723195,55047.737972076495
p214-010-60171-ml.png,719622892.0,16830638.5,12614758.244669603,73935.14691788374,4139643719.25,55974689.25,12354082.006714564,111066.26924236846,8157044257.25,83634513.25,12189314.273179503,115424.05232716675,5189802565.75,44897006.25,12903413.894550383,78331.69342854114
p214-010-60171-mr.png,427417745.25,11566451.75,12692169.53766187,68997.7383168771,2403137734.0,33894117.0,12793717.247533511,88523.87054243029,6263109430.75,65934302.0,12284196.140785865,95340.40573464114,4838750775.5,42731192.0,12869958.622459833,67968.33901965428
p214-010-60174-cl.png,144951465.5,4585382.75,8147577.312564783,47126.72987047142,686048864.0,11179629.75,8138262.212316459,42234.85079680072,1643055686.25,16479205.75,8179921.600125214,36215.64577508897,1246209021.25,10288544.0,8301060.810119591,47554.783494030555
p214-010-60174-cr.png,110025740.25,3533644.75,8222396.295714884,56832.539674915024,589681880.75,9766033.0,8196191.415375801,56858.84939851009,1216541194.75,13487908.5,8217223.709844316,47858.325862186655,793079251.25,7053447.75,8366010.299208688,31949.734253047714
p214-010-60174-ml.png,190066338.25,5622807.0,8040471.65108186,65120.421310593316,676450858.0,11166027.25,8143194.04745075,63408.417092008545,1381057343.0,14837526.25,8168704.388390759,40422.827337267154,1018542375.0,9007903.25,8310430.605778964,52426.8818327483
p214-010-60174-mr.png,171974076.5,5166819.0,8097828.593431266,61761.40363838015,719433328.5,11591656.75,8145379.540207436,56284.52600630296,1331906030.25,14133998.5,8199158.719395078,49635.1671039176,851261087.0,7217605.5,8354050.598663318,35335.315559150666
p214-010-60176-cl.png,682494026.75,17774843.25,12666459.678589769,79982.22712689632,3772896692.0,59583686.5,12110843.923144888,128435.02389625183,6746823750.5,79685925.25,12120932.086643215,137673.6783604991,4003668944.25,38520423.75,13020602.74694629,73836.10196006639
p214-010-60176-cr.png,457234798.5,12650693.5,12879086.792244451,66426.75525503306,3065616256.25,50431496.5,12248831.29231282,118385.95948160981,5964217222.5,73091747.25,12165696.052172096,129354.32453844612,3636650488.75,36126642.5,13027412.188690607,79289.47472162417
p214-010-60176-ml.png,1053564282.0,22990562.0,12482021.429275548,106474.65699376678,3775262950.25,57983646.5,12146343.44835513,147560.4973608305,4803542057.75,58273825.75,12434510.418399595,124335.93202268216,2187796263.5,21960202.75,13246755.557124402,61689.02473737483
p214-010-60176-mr.png,1031045291.25,22491027.75,12497426.152412303,92392.78997237698,3866464798.25,56530312.5,12184832.211374708,120214.0172293379,4473478414.25,50408865.0,12611413.618618045,96176.56129447433,1527609466.25,13411413.0,13416806.960062094,38958.369204674455
