,contrast,dissimilarity,homogeneity,energy
p214-010-61445-mr.png,182035847.0,13986700.5,11848825.005199116,62300.3651475923
p214-010-61546-cl.png,302693380.0,19407617.0,11656579.027752344,66741.82031773665
p214-010-61546-cr.png,295910860.5,19908357.0,11524136.30658723,62148.65381983953
p214-010-61546-ml.png,285400467.5,19273948.75,11490788.0149655,63951.22008011159
p214-010-61546-mr.png,287393040.75,19433929.5,11457773.384335374,67153.42181376755
p214-010-61626-cl.png,602070347.75,48382130.25,7826668.158568164,141638.7131780378
p214-010-61626-cr.png,667316320.5,49524363.0,8102273.132547289,132337.04471912395
p214-010-61626-ml.png,588881100.25,44704112.0,8445585.481495762,123218.32018223588
p214-010-61626-mr.png,648154506.75,46887854.0,8427845.825037353,117770.41142378114
p214-010-61823-cl.png,548283401.0,35067102.75,10062824.117092226,69364.32971872145
p214-010-61823-cr.png,498458548.75,33710406.25,9984484.246541504,81946.93859936431
p214-010-61823-ml.png,379826507.0,28881629.0,10069977.298983142,92001.03839422323
p214-010-61823-mr.png,361964600.75,27695720.25,10213737.7188823,93331.56437162544
p214-010-62144-cl.png,675698020.25,45405669.75,8855323.282965623,96872.76525632916
p214-010-62144-cr.png,533462821.75,37478557.25,9550520.660445016,90381.88339031223
p214-010-62144-ml.png,630224982.25,43981735.75,8821218.147551661,110851.06186767944
p214-010-62144-mr.png,745614127.75,46648983.0,9102175.199327566,96722.06622270701
p214-010-62326-cl.png,557554497.0,42683916.5,8659515.080311928,116368.44888760167
p214-010-62326-cr.png,595701077.0,43464915.0,8639103.623457965,111803.79271755795
p214-010-62326-ml.png,661198386.75,48578125.0,8145450.027381114,118056.98113668144
p214-010-62326-mr.png,579984587.25,42818168.5,8730441.112400047,107641.47187603478
p214-010-62465-cl.png,620964724.5,44977891.25,8439859.56196465,124402.96231736512
p214-010-62465-cr.png,514720372.75,37393964.5,9365228.014997782,96661.85137393145
p214-010-62465-ml.png,539055437.5,42549139.75,8311420.0049498975,135128.0177052421
p214-010-62465-mr.png,458245195.0,35361679.25,9299651.001019083,117069.97336987272
