,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
p214-010-60120-ml.png,3420384.0,0.3134971131323036,0.12846177662602573,0.03137254901960784,0.2,0.30980392156862746,0.4,0.8784313725490196,0.4552791479196308,-0.4170424218448553
p214-010-60120-mr.png,3255488.0,0.2818674032954836,0.14487347273654394,0.027450980392156862,0.1568627450980392,0.2549019607843137,0.3764705882352941,0.9921568627450981,0.8028547723454587,0.01182422115714651
p214-010-60125-cl.png,1862624.0,0.289449434102158,0.1156222158646036,0.047058823529411764,0.2,0.29411764705882354,0.3568627450980392,0.8549019607843137,0.43881533042297477,0.3711655372414251
p214-010-60125-cr.png,1717664.0,0.2980030425270693,0.10357312313285545,0.058823529411764705,0.21176470588235294,0.30980392156862746,0.37254901960784315,0.7568627450980392,-0.01272528766835572,-0.7185380802358866
p214-010-60125-ml.png,2080848.0,0.3133561535922836,0.09071155058485514,0.07450980392156863,0.23529411764705882,0.3137254901960784,0.37254901960784315,0.8117647058823529,0.47056184443473975,0.30310656795190916
p214-010-60125-mr.png,1823440.0,0.312303102173612,0.09936002351686446,0.0784313725490196,0.2235294117647059,0.3137254901960784,0.3803921568627451,0.792156862745098,0.39373171975724447,-0.2686826954885048
p214-010-60128-cl.png,2308880.0,0.2563935574229692,0.11202796409823183,0.027450980392156862,0.16862745098039217,0.2549019607843137,0.3215686274509804,0.9411764705882353,0.8170673015180133,1.8849530799717569
p214-010-60128-cr.png,2164064.0,0.2621475911552903,0.11530653676839045,0.027450980392156862,0.1803921568627451,0.25098039215686274,0.3215686274509804,0.9529411764705882,1.2000568415041961,2.9575115935984893
p214-010-60128-ml.png,1941488.0,0.25828727809823826,0.10956772494273932,0.0392156862745098,0.17254901960784313,0.23921568627450981,0.3215686274509804,0.8784313725490196,1.0457790131568667,1.356794162115469
p214-010-60128-mr.png,1839104.0,0.2493842952339623,0.10720235305320996,0.0196078431372549,0.16862745098039217,0.22745098039215686,0.30980392156862746,0.8588235294117647,1.0796880363266503,1.3410555886941296
p214-010-60133-cl.png,4721776.0,0.27207206630326736,0.11238424099646754,0.023529411764705882,0.2,0.26666666666666666,0.32941176470588235,0.9568627450980393,0.9115709351735167,2.102287915820614
p214-010-60133-cr.png,3239872.0,0.2778666734062212,0.11962447839304223,0.027450980392156862,0.19607843137254902,0.26666666666666666,0.3411764705882353,0.9411764705882353,0.9160913277438001,1.6785960738776051
p214-010-60133-ml.png,4322096.0,0.2714296580214058,0.11334924388757829,0.03137254901960784,0.1843137254901961,0.2549019607843137,0.33725490196078434,0.9764705882352941,0.8587317272751941,0.9084136835125972
p214-010-60133-mr.png,3083936.0,0.2829074502804973,0.1187662770893474,0.023529411764705882,0.19607843137254902,0.26666666666666666,0.34901960784313724,0.9529411764705882,0.9269585909224307,1.2246815282529953
p214-010-60136-cl.png,1017920.0,0.30468384587409303,0.16595530343826323,0.03137254901960784,0.16470588235294117,0.2823529411764706,0.4196078431372549,0.8509803921568627,0.5052207272447868,-0.6190053693661093
p214-010-60136-cr.png,1395104.0,0.28994455736970587,0.16433248153103547,0.027450980392156862,0.15294117647058825,0.2627450980392157,0.403921568627451,0.8705882352941177,0.6660120203991117,-0.21766218393601336
p214-010-60136-ml.png,1589824.0,0.33392442108279236,0.18186119261427497,0.0392156862745098,0.17647058823529413,0.2980392156862745,0.4666666666666667,0.9215686274509803,0.6097045993139615,-0.5631936816019487
p214-010-60136-mr.png,1823104.0,0.3138335218504308,0.1846820134215476,0.03137254901960784,0.15294117647058825,0.26666666666666666,0.4470588235294118,0.9137254901960784,0.7019371427662332,-0.5470747935157917
p214-010-60140-cl.png,4440144.0,0.2820722030636844,0.1416001744624003,0.01568627450980392,0.15294117647058825,0.2823529411764706,0.396078431372549,0.8509803921568627,0.2060921368059175,-0.9192167656002636
p214-010-60140-cr.png,4162112.0,0.2758542278912396,0.14402196085888355,0.01568627450980392,0.14901960784313725,0.26666666666666666,0.39215686274509803,0.9254901960784314,0.29289355003387724,-0.8964679476825751
